state,county,location_name,location_type,address_1,address_2,city,state_2,zip,hours,notes
Illinois ,Cook County,Calumet City Public Library,Library,660 S Manistee Ave,,Calumet City,IL,60827,Oct 19-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Des Plaines Public Library,Library,1501 Ellinwood St,,Des Plaines,IL,60016,October 19th-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Lansing Public Library,Library,2750 Indiana Ave,,Lansing,IL,60438,Oct 19th-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Cook County,Wheeling (Indian Trails Public Library),Library,355 Schoenbeck Rd,,Wheeling,IL,60090,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,Macoupin County,Benld Public Library,Library,308 E Central Ave,,Benld,IL,62009,"Tuesday, October 20: 6:00PM-7:30PM", 
Illinois ,Peoria County,Lillie M Evans Library,Library,207 N Walnut ST,,Princeville,IL,61559,Monday October 19th: 10:00AM-6:00PM,Election Judge's Table
Illinois ,Peoria County,Brimfield Public Library,Library,111 S Galena AVE,,Brimfield,IL,61517,Wednesday October 21st: 10:00AM-6:00PM,Election Judge's Table
Illinois ,Peoria County,Peoria Heights Public Library,Library,816 E Glen AVE,,Peoria Heights,IL,61616,"Friday, October 23rd: 10:00AM-6:00PM",Election Judge's Table
Illinois ,Peoria County,Alpha Park Public Library,Library,3527 Airport RD,,Peoria,IL,61607,"Friday October 30th: 10:00AM-6:00PM, Saturday October 24th-31st : 10:00AM-1:00PM",Election Judge's Table
Illinois ,Peoria County,Dunlap Public Library,Library,302 S First ST,,Dunlap,IL,61525,"Friday October 30th: 10:00AM-6:00PM, Saturday October 24th-31st: 10:00AM-1:00PM",Election Judge's Table
Illinois ,Peoria County,Chillicothe Public Library,Library,430 N Bradley ST,,Chillicothe,IL,61523,October 28th-29th: Wednesday-Thursday: 10:00AM-6:00PM,Election Judge's Table
Illinois ,Peoria County,Peoria Public Librarry (Downtown),Library,107 NE Monroe ST,,Peoria,IL,61602,"October 28th-30th: Wednesday- Friday: 10:00AM-6:00PM, Saturday October 31st: 10:00AM-1:00PM, Sunday November 1st: 12:00PM-3:00PM, September 24-November 2: 12:00AM-12:00PM, ",Election Judge's Table
Illinois ,Will County,Wilmington Library,Library,201 S Kankakee ST,,Wilmington,IL,60481,"October 9-October 10: Friday-Saturday: 9:00AM-5:00PM, October 11: Sunday: 12:00PM-5:00PM, October 12-October 15: Monday-Thursday: 9:00AM-5:00PM, October 16-October 17: Friday-Saturday: 9:00AM-5:00PM, October 18: Sunday: 12:00PM-5:00PM, October 19-October 22: Monday-Thursday: 9:00AM-5:00PM, October 23-October 24: Friday-Saturday: 9:00AM-5:00PM, October 25: Sunday: 12:00PM-5:00PM, October 26-October 29: Monday-Thursday: 9:00AM-5:00PM, October 30-October 31: Friday-Saturday: 9:00AM-5:00PM, November 1: Sunday: 12:00PM-5:00PM, November 2: Monday: 9:00AM-5:00PM, ",Next to circulation desk
Illinois ,Will County,Frankfort Public Library,Library,21119 S Pfeiffer RD,,Frankfort,IL,60423,"October 9-October 10: Friday-Saturday: 9:00AM-5:00PM, October 12-October 15: Monday-Thursday: 9:00AM-9:00PM, October 16-October 17: Friday-Saturday: 9:00AM-5:00PM, October 19-October 22: Monday-Thursday: 9:00AM-9:00PM, October 23-October 24: Friday-Saturday: 9:00AM-5:00PM, October 26-October 29: Monday-Thursday: 9:00AM-9:00PM, October 30-October 31: Friday-Saturday: 9:00AM-5:00PM, November 2: Monday: 9:00AM-9:00PM",Across from circulation desk
Illinois ,Will County,Naperville - 95th Street Library,Library,3015 Cedar Glade RD,,Naperville,IL,60564,"October 10: Saturday: 9:00AM-5:00PM, October 11: Sunday: Noon-9:00PM, October 12-October 16: Monday-Friday: 9:00AM-9:00PM, October 17: Saturday: 9:00AM-5:00PM, October 18: Sunday: Noon-9:00PM, October 19-October 23: Monday-Friday: 9:00AM-9:00PM, October 24: Saturday: 9:00AM-5:00PM, October 25: Sunday: Noon-9:00PM, October 26-October 30: Monday-Friday: 9:00AM-9:00PM, October 31: Saturday: 9:00-5:00PM, November 1: Sunday: Noon-9:00PM, November 2: Monday: 9:00AM-9:00PM",Next to the circulation desk
Illinois ,Will County,Fountaindale Public Library,Library,300 W Briarcliff RD,,Bolingbrook,IL,60440,"October 9-October 10: Friday-Saturday: 9:00AM-6:00PM, October 11: Sunday: Noon-6:00PM, October 12-October 15: Monday-Thursday: 9:00AM-9:00PM, October 16-October 17: Friday-Saturday: 9:00AM-6:00PM, October 18: Sunday: Noon-6:00PM, October 19-October 22: Monday-Thursday: 9:00AM-9:00PM, October 23-October 24: Friday-Saturday: 9:00AM-6:00PM, October 25: Sunday: Noon-6:00PM, October 26-October 29: Monday-Thursday: 9:00AM-9:00PM, October 30-October 31: Friday-Saturday: 9:00AM-6:00PM, November 1: Sunday: Noon-6:00PM, November 2: Monday: 9:00AM-9:00PM",Main floor next to staircase
Illinois ,Will County,Plainfield Public Library,Library,15025 S Illinois ST,,Plainfield,IL,60544,"October 9-October 10: Friday-Saturday: 10:00AM-3:00PM, October 12-October 15: Monday-Thursday: 10:00AM-6:00PM, October 16-October 17: Friday-Saturday: 10:00AM-3:00PM, October 19-October 22: Monday-Thursday: 10:00AM-6:00PM, October 23-October 24: Friday-Saturday: 10:00AM-3:00PM, October 26-October 29: Monday-Thursday: 10:00AM-6:00PM, October 30-October 31: Friday-Saturday: 10:00AM-3:00PM, November 2: Monday: 10:00AM-6:00PM",Top of staircase inside main entrance
Illinois ,Will County,White Oak Library,Library,121 E Eighth ST,,Lockport,IL,60441,"October 9-October 10: Friday-Saturday: 10:00AM-5:00PM, October 11: Sunday: 1:00PM-5:00PM, October 12-October 15: Monday-Thursday: 10:00AM-8:30PM, October 16-October 17: Friday-Saturday: 10:00AM-5:00PM, October 18: Sunday: 1:00PM-5:00PM, October 19-October 22: Monday-Thursday: 10:00AM-8:30PM, October 23-October 24: Friday-Saturday: 10:00AM-5:00PM, October 25: Sunday: 1:00PM-5:00PM, October 26-October 29: Monday-Thursday: 10:00AM-8:30PM, October 30-October 31: Friday-Saturday: 10:00AM-5:00PM, November 1: Sunday: 1:00PM-5:00PM, November 2: Monday: 10:00AM-8:30PM",Right side of circulation desk inside main entrance
Illinois ,Lake County,William E. Peterson Park,Park,16652 N Buffalo Grove RD,,Prairie View,IL,60069,Begins on October 19 and concludes November 1: Monday-Friday: 8:30AM-7:00PM; Saturday-Sunday: 9:00AM-5:00PM ,Inside door to Early Voting room
Illinois ,Champaign County,Prince of Peace Lutheran Church,Place of Worship,802 E Douglas,,St. Joseph,IL,61873,Saturday: 1PM-3PM, 
Illinois ,Peoria County,Hanna City United Methodist Church,Place of Worship,12208 W Farmington RD,,Hanna City,IL,61536,Tuesday October 20th: 10:00AM-6:00PM,Election Judge's Table
Illinois ,Peoria County,United Methodist Church,Place of Worship,821 W Main ST,,Elmwood,IL,61529,Monday October 26th: 10:00AM-6:00PM,Election Judge's Table
Illinois ,Champaign County,"U of I Quad, Northwest Corner",School,1401 W Green St,Accessible by Foot or Bike Only,Urbana,IL,61801,Monday-Sunday:12:00AM-12:00AM,"Ballots must be deposited by 7PM on Election Day, Tuesday, November 3, 2020"
Illinois ,Cook County,Chicago Heights (Prairie State College),School,202 S Halsted St,ROOM 1318,Chicago Heights,IL,60411,October 19th-Nov 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm,Room 1318
Illinois ,Cook County,Skokie (Oakton Community College-Skokie Campus),School,7701 Lincoln St,,Skokie,IL,60077,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
Illinois ,DuPage County,College of DuPage,School,425 Fawell Blvd,IRC Rm 1020,Glen Ellyn,IL,60137,"Monday-Friday, October 19-October 30: 8:30AM-7:00PM , Saturday, October 24 & October 31: 9:00AM-5:00PM", 
Illinois ,McLean County,ISU Bone Student Center,School,100 N University St,,Normal,IL,61761,October 26-October 30: 10:00AM-5:00PM, 
Illinois ,Will County,Governors State University,School,1 University PKWY,,University Park,IL,60484,September 24-September 25: Thursday-Friday: 6:00AM-10:30PM,Inside main entrance to the left
Illinois ,Will County,Governors State University,School,1 University PKWY,,University Park,IL,60484,"October 10: Saturday: 7:00AM-6:00PM, October 11: Sunday :12:00PM-9:00PM, October 12-October 16: Monday-Friday: 6:00AM-10:30PM, October 17: Saturday: 7:00AM-6:00PM, October 18: Sunday: 12:00PM-9:00PM, October 19-October 23: Monday-Friday: 6:00AM-10:30PM, October 24: Saturday: 7:00AM-6:00PM, October 25: Sunday: 12:00PM-9:00PM, October 26-October 30: Monday-Friday: 6:00AM-10:30PM, October 31: Saturday: 7:00AM-6:00PM, November 1: Sunday: 12:00PM-9:00PM, November 2: Monday: 6:00AM-10:30PM",Inside main entrance to the left
Illinois ,Cook County,Union Station,Public Transit Facility,225 S Canal St,,Chicago,IL,60606,Oct 19th-November 3: Monday-Friday: 8:30am-7:00pm; Saturday-Sunday: 9:00am-5:00pm, 
